id,rank,name,amount,
1,UR,泊まれるレストラン オーベルジュチケット,1,1
2,UR,Meta Quest3(128GB),1,1
3,UR,PS5 新モデル,1,1
4,SR,Kindle Paperwhite シグニチャー エディション (32GB),1,1
5,SR,Logicool G​ ワイヤレスマウス​ PRO X SUPERLIGHT​,1,1
6,SR,Marshall​ ワイヤレスポータブル​防水スピーカー ​Emberton,1,1
7,SR,ソーダストリーム​ 炭酸水メーカー Source v3​,1,1
8,SR,レミパンプラス​ ツール4種セット​ ホワイト​,1,1
9,SR,ルルド ハンドケア AX-HPL1806,1,1
10,SR,パナソニック​ スチームアイロン​ NI-FS790-K​,1,1
11,SR,ワイヤレスヘッドホン,1,
12,SP,ボードゲーム「LEMMING MAFFIA」＆「ドラゴンズ エッグ」,1,1
13,SP,SEKIRO​ オリジナルサウンドトラック​,1,1
14,SP,スーパーマリオ​ ラッピング×エコバッグ​,1,1
15,R,電気シェーバー​ フィリップス 5000シリーズ​ S5445/03​,1,1
16,R,選べる 肉カタログギフト​ 松阪牛・神戸牛・米沢牛​,2,2
17,R,海鮮カタログギフト​「露草」​,2,2
18,R,フルーツジュース​ 信州の果実​,1,1
19,R,純米大吟醸​ 久保田・獺祭​,1,1
20,R,ヒューガルデン ホワイト​ 12本,1,1
21,R,スターバックス​ オリガミ® アソートセット​ 27袋入り​,1,1
22,R,Xbox ワイヤレス コントローラー​ 特別エディション​,1,1
23,R,Nintendo Switch​ Proコントローラー​,1,1
24,R,Monster​ ネックスピーカー​ Boomerang​,1,1
25,R,今治タオル​ Hiorie HOTEL'S​ 2枚セット​,1,1
26,R,DOSHISHA​ 二重マグカップ​ ON℃ZONE​ ピンクベージュ​,1,1
27,R,SONICER ホットアイマスク,1,1
28,R,Sanwa Supply​ 電動エアダスター​,1,1
29,R,ASAKUKI​ 卓上加湿器​ ホワイト​,1,1
30,R,Levoit​ 空気清浄機​ Core Mini ホワイト​,1,1
31,R,Steamプリペイドカード,3,3
